col_1,col_2
1/1/2020,0.112304
1/2/2020,0.113038
1/3/2020,0.112724
1/4/2020,0.112724
1/5/2020,0.112724
1/6/2020,0.112094
1/7/2020,0.112731
1/8/2020,0.111783
1/9/2020,0.113169
1/10/2020,0.112884
1/11/2020,0.112884
1/12/2020,0.112884
1/13/2020,0.114676
1/14/2020,0.112547
1/15/2020,0.111987
1/16/2020,0.11212
1/17/2020,0.111399
1/18/2020,0.111399
1/19/2020,0.111399
1/20/2020,0.111275
1/21/2020,0.111356
1/22/2020,0.11139
1/23/2020,0.111345
1/24/2020,0.111861
1/25/2020,0.111861
1/26/2020,0.111861
1/27/2020,0.11149
1/28/2020,0.110082
1/29/2020,0.111292
1/30/2020,0.110757
1/31/2020,0.109627
2/1/2020,0.109627
2/2/2020,0.109627
2/3/2020,0.108531
2/4/2020,0.110089
2/5/2020,0.111057
2/6/2020,0.110791
2/7/2020,0.109976
2/8/2020,0.109976
2/9/2020,0.109976
2/10/2020,0.10909
2/11/2020,0.108782
2/12/2020,0.109811
2/13/2020,0.109936
2/14/2020,0.109519
2/15/2020,0.109519
2/16/2020,0.109519
2/17/2020,0.109585
2/18/2020,0.109805
2/19/2020,0.109379
2/20/2020,0.109985
2/21/2020,0.109301
2/22/2020,0.109301
2/23/2020,0.109301
2/24/2020,0.109524
2/25/2020,0.107566
2/26/2020,0.10728
2/27/2020,0.107149
2/28/2020,0.105545
2/29/2020,0.105545
3/1/2020,0.105545
3/2/2020,0.104332
3/3/2020,0.104738
3/4/2020,0.104977
3/5/2020,0.104323
3/6/2020,0.102548
3/7/2020,0.102548
3/8/2020,0.102548
3/9/2020,0.095486
3/10/2020,0.092867
3/11/2020,0.097255
3/12/2020,0.094804
3/13/2020,0.093873
3/14/2020,0.093873
3/15/2020,0.093873
3/16/2020,0.095883
3/17/2020,0.093697
3/18/2020,0.093117
3/19/2020,0.086962
3/20/2020,0.089637
3/21/2020,0.089637
3/22/2020,0.089637
3/23/2020,0.089062
3/24/2020,0.089
3/25/2020,0.090184
3/26/2020,0.090652
3/27/2020,0.091294
3/28/2020,0.091294
3/29/2020,0.091294
3/30/2020,0.090315
3/31/2020,0.089153
4/1/2020,0.090109
4/2/2020,0.089944
4/3/2020,0.091777
4/4/2020,0.091777
4/5/2020,0.091777
4/6/2020,0.092186
4/7/2020,0.09316
4/8/2020,0.093415
4/9/2020,0.09396
4/10/2020,0.094703
4/11/2020,0.094703
4/12/2020,0.094703
4/13/2020,0.095321
4/14/2020,0.095694
4/15/2020,0.096368
4/16/2020,0.094221
4/17/2020,0.095957
4/18/2020,0.095957
4/19/2020,0.095957
4/20/2020,0.095426
4/21/2020,0.093587
4/22/2020,0.091939
4/23/2020,0.093349
4/24/2020,0.094494
4/25/2020,0.094494
4/26/2020,0.094494
4/27/2020,0.094876
4/28/2020,0.095073
4/29/2020,0.095402
4/30/2020,0.096663
5/1/2020,0.094954
5/2/2020,0.093689
5/3/2020,0.093688
5/4/2020,0.093578
5/5/2020,0.094531
5/6/2020,0.095692
5/7/2020,0.095333
5/8/2020,0.095541
5/9/2020,0.096379
5/10/2020,0.096379
5/11/2020,0.096324
5/12/2020,0.096335
5/13/2020,0.096565
5/14/2020,0.09602
5/15/2020,0.096457
5/16/2020,0.09649
5/17/2020,0.09649
5/18/2020,0.096763
5/19/2020,0.09787
5/20/2020,0.098051
5/21/2020,0.099641
5/22/2020,0.099755
5/23/2020,0.099542
5/24/2020,0.099542
5/25/2020,0.099907
5/26/2020,0.099784
5/27/2020,0.101035
5/28/2020,0.100949
5/29/2020,0.101571
5/30/2020,0.101742
5/31/2020,0.101742
6/1/2020,0.103111
6/2/2020,0.103337
6/3/2020,0.10383
6/4/2020,0.102894
6/5/2020,0.103078
6/6/2020,0.103402
6/7/2020,0.103288
6/8/2020,0.103704
6/9/2020,0.103005
6/10/2020,0.103126
6/11/2020,0.100781
6/12/2020,0.101566
6/13/2020,0.101566
6/14/2020,0.101867
6/15/2020,0.101864
6/16/2020,0.101747
6/17/2020,0.101783
6/18/2020,0.101436
6/19/2020,0.10187
6/20/2020,0.10187
6/21/2020,0.10182
6/22/2020,0.102253
6/23/2020,0.102652
6/24/2020,0.101801
6/25/2020,0.102462
6/26/2020,0.10144
6/27/2020,0.10144
6/28/2020,0.101405
6/29/2020,0.100941
6/30/2020,0.099268
7/1/2020,0.099749
7/2/2020,0.100245
7/3/2020,0.098897
7/4/2020,0.098897
7/5/2020,0.098899
7/6/2020,0.097739
7/7/2020,0.098194
7/8/2020,0.098317
7/9/2020,0.098712
7/10/2020,0.09899
7/11/2020,0.09899
7/12/2020,0.098911
7/13/2020,0.098824
7/14/2020,0.098553
7/15/2020,0.098371
7/16/2020,0.097643
7/17/2020,0.09728
7/18/2020,0.09728
7/19/2020,0.097264
7/20/2020,0.097847
7/21/2020,0.098717
7/22/2020,0.098289
7/23/2020,0.098185
7/24/2020,0.097911
7/25/2020,0.097911
7/26/2020,0.09789
7/27/2020,0.097747
7/28/2020,0.096529
7/29/2020,0.096542
7/30/2020,0.095544
7/31/2020,0.093765
8/1/2020,0.093765
8/2/2020,0.093935
8/3/2020,0.095562
8/4/2020,0.09498
8/5/2020,0.095252
8/6/2020,0.094949
8/7/2020,0.094526
8/8/2020,0.094526
8/9/2020,0.094524
8/10/2020,0.094642
8/11/2020,0.095007
8/12/2020,0.093954
8/13/2020,0.095273
8/14/2020,0.095414
8/15/2020,0.095414
8/16/2020,0.095371
8/17/2020,0.09416
8/18/2020,0.094695
8/19/2020,0.094421
8/20/2020,0.093597
8/21/2020,0.092481
8/22/2020,0.092481
8/23/2020,0.092499
8/24/2020,0.092709
8/25/2020,0.091738
8/26/2020,0.091043
8/27/2020,0.09182
8/28/2020,0.092669
8/29/2020,0.092669
8/30/2020,0.09261
8/31/2020,0.092693
9/1/2020,0.092631
9/2/2020,0.090585
9/3/2020,0.090995
9/4/2020,0.090804
9/5/2020,0.090804
9/6/2020,0.090786
9/7/2020,0.090173
9/8/2020,0.089743
9/9/2020,0.090675
9/10/2020,0.090945
9/11/2020,0.091253
9/12/2020,0.091253
9/13/2020,0.091169
9/14/2020,0.090516
9/15/2020,0.090183
9/16/2020,0.090216
9/17/2020,0.090196
9/18/2020,0.089419
9/19/2020,0.089419
9/20/2020,0.089492
9/21/2020,0.089158
9/22/2020,0.089144
9/23/2020,0.088664
9/24/2020,0.088569
9/25/2020,0.08732
9/26/2020,0.08732
9/27/2020,0.087257
9/28/2020,0.086056
9/29/2020,0.086409
9/30/2020,0.087397
10/1/2020,0.087958
10/2/2020,0.086848
10/3/2020,0.086848
10/4/2020,0.086738
10/5/2020,0.086942
10/6/2020,0.08658
10/7/2020,0.087006
10/8/2020,0.087837
10/9/2020,0.087209
10/10/2020,0.087209
10/11/2020,0.087212
10/12/2020,0.087583
10/13/2020,0.087561
10/14/2020,0.086373
10/15/2020,0.086253
10/16/2020,0.086083
10/17/2020,0.086083
10/18/2020,0.08599
10/19/2020,0.086119
10/20/2020,0.086343
10/21/2020,0.086671
10/22/2020,0.087302
10/23/2020,0.087733
10/24/2020,0.087733
10/25/2020,0.087757
10/26/2020,0.087778
10/27/2020,0.086784
10/28/2020,0.085082
10/29/2020,0.085115
10/30/2020,0.084302
10/31/2020,0.084302
11/1/2020,0.084216
11/2/2020,0.083095
11/3/2020,0.084278
11/4/2020,0.085802
11/5/2020,0.086067
11/6/2020,0.085384
11/7/2020,0.085384
11/8/2020,0.085428
11/9/2020,0.086891
11/10/2020,0.086358
11/11/2020,0.086036
11/12/2020,0.085749
11/13/2020,0.08538
11/14/2020,0.085464
11/15/2020,0.085301
11/16/2020,0.086281
11/17/2020,0.086012
11/18/2020,0.0864
11/19/2020,0.086343
11/20/2020,0.086113
11/21/2020,0.086113
11/22/2020,0.086131
11/23/2020,0.086592
11/24/2020,0.087331
11/25/2020,0.087028
11/26/2020,0.086898
11/27/2020,0.08645
11/28/2020,0.08645
11/29/2020,0.086489
11/30/2020,0.086055
12/1/2020,0.086478
12/2/2020,0.087355
12/3/2020,0.087826
12/4/2020,0.08812
12/5/2020,0.08812
12/6/2020,0.088289
12/7/2020,0.088558
12/8/2020,0.089044
12/9/2020,0.088885
12/10/2020,0.089514
12/11/2020,0.089497
12/12/2020,0.089497
12/13/2020,0.08961
12/14/2020,0.088731
12/15/2020,0.08927
12/16/2020,0.088994
12/17/2020,0.089334
12/18/2020,0.089025
12/19/2020,0.089025
12/20/2020,0.089013
12/21/2020,0.087814
12/22/2020,0.086194
12/23/2020,0.087381
12/24/2020,0.088233
12/25/2020,0.088331
12/26/2020,0.088331
12/27/2020,0.088403
12/28/2020,0.088469
12/29/2020,0.088531
12/30/2020,0.087501
12/31/2020,0.088344
